Date,Year,Month,Day,Flow
9/14/1980,1980,9,14,0.695550602
9/15/1980,1980,9,15,0.77162645
9/16/1980,1980,9,16,0.956382078
9/17/1980,1980,9,17,1.195477598
9/18/1980,1980,9,18,1.195477598
9/19/1980,1980,9,19,0.999853991
9/20/1980,1980,9,20,0.923778144
9/21/1980,1980,9,21,6.685112053
9/22/1980,1980,9,22,5.781718532
9/23/1980,1980,9,23,4.426628251
9/24/1980,1980,9,24,3.794252787
9/25/1980,1980,9,25,3.523234731
9/26/1980,1980,9,26,2.529501858
9/27/1980,1980,9,27,2.258483802
9/28/1980,1980,9,28,1.626108337
9/29/1980,1980,9,29,1.626108337
9/30/1980,1980,9,30,1.264750929
10/1/1980,1980,10,1,30.85915148
10/2/1980,1980,10,2,19.63764185
10/3/1980,1980,10,3,11.22150963
10/4/1980,1980,10,4,0
10/5/1980,1980,10,5,0
10/6/1980,1980,10,6,0
10/7/1980,1980,10,7,0
10/8/1980,1980,10,8,0
10/9/1980,1980,10,9,0
10/10/1980,1980,10,10,0
10/11/1980,1980,10,11,0
10/12/1980,1980,10,12,0
10/13/1980,1980,10,13,0
10/14/1980,1980,10,14,0
10/15/1980,1980,10,15,0
10/16/1980,1980,10,16,0
10/17/1980,1980,10,17,0
10/18/1980,1980,10,18,0
10/19/1980,1980,10,19,0
10/20/1980,1980,10,20,0
10/21/1980,1980,10,21,0
10/22/1980,1980,10,22,0
10/23/1980,1980,10,23,0
10/24/1980,1980,10,24,11.81048083
10/25/1980,1980,10,25,22.54728158
10/26/1980,1980,10,26,19.32624135
10/27/1980,1980,10,27,17.1788812
10/28/1980,1980,10,28,16.10520113
10/29/1980,1980,10,29,9.448384661
10/30/1980,1980,10,30,6.87155248
10/31/1980,1980,10,31,4.616824323
11/1/1980,1980,11,1,3
11/2/1980,1980,11,2,1.8
11/3/1980,1980,11,3,1.6
11/4/1980,1980,11,4,1.456626506
11/5/1980,1980,11,5,1.362650602
11/6/1980,1980,11,6,1.362650602
11/7/1980,1980,11,7,1.409638554
11/8/1980,1980,11,8,1.409638554
11/9/1980,1980,11,9,1.362650602
11/10/1980,1980,11,10,1.409638554
11/11/1980,1980,11,11,1.456626506
11/12/1980,1980,11,12,1.456626506
11/13/1980,1980,11,13,1.597590361
11/14/1980,1980,11,14,1.644578313
11/15/1980,1980,11,15,1.456626506
11/16/1980,1980,11,16,1.409638554
11/17/1980,1980,11,17,1.456626506
11/18/1980,1980,11,18,1.362650602
11/19/1980,1980,11,19,1.362650602
11/20/1980,1980,11,20,1.268674699
11/21/1980,1980,11,21,1.221686747
11/22/1980,1980,11,22,1.268674699
11/23/1980,1980,11,23,1.315662651
11/24/1980,1980,11,24,1.221686747
11/25/1980,1980,11,25,1.127710843
11/26/1980,1980,11,26,1.080722892
11/27/1980,1980,11,27,1.080722892
11/28/1980,1980,11,28,0.986746988
11/29/1980,1980,11,29,0.845783133
11/30/1980,1980,11,30,0.704819277
12/1/1980,1980,12,1,1.613793103
12/2/1980,1980,12,2,1.277586207
12/3/1980,1980,12,3,1.075862069
12/4/1980,1980,12,4,0.995172414
12/5/1980,1980,12,5,0.995172414
12/6/1980,1980,12,6,0.847241379
12/7/1980,1980,12,7,0.847241379
12/8/1980,1980,12,8,0.847241379
12/9/1980,1980,12,9,0.927931034
12/10/1980,1980,12,10,0.847241379
12/11/1980,1980,12,11,0.927931034
12/12/1980,1980,12,12,1.277586207
12/13/1980,1980,12,13,1.344827586
12/14/1980,1980,12,14,1.277586207
12/15/1980,1980,12,15,1.277586207
12/16/1980,1980,12,16,1.479310345
12/17/1980,1980,12,17,1.613793103
12/18/1980,1980,12,18,1.344827586
12/19/1980,1980,12,19,1.210344828
12/20/1980,1980,12,20,1.075862069
12/21/1980,1980,12,21,1.075862069
12/22/1980,1980,12,22,0.94137931
12/23/1980,1980,12,23,0.806896552
12/24/1980,1980,12,24,0.672413793
12/25/1980,1980,12,25,0.672413793
12/26/1980,1980,12,26,0.806896552
12/27/1980,1980,12,27,1.075862069
12/28/1980,1980,12,28,1.344827586
12/29/1980,1980,12,29,2.689655172
12/30/1980,1980,12,30,2.95862069
12/31/1980,1980,12,31,2.95862069
1/1/1981,1981,1,1,1.545945946
1/2/1981,1981,1,2,1.475675676
1/3/1981,1981,1,3,1.475675676
1/4/1981,1981,1,4,1.335135135
1/5/1981,1981,1,5,1.335135135
1/6/1981,1981,1,6,1.335135135
1/7/1981,1981,1,7,1.264864865
1/8/1981,1981,1,8,1.264864865
1/9/1981,1981,1,9,1.194594595
1/10/1981,1981,1,10,1.194594595
1/11/1981,1981,1,11,1.194594595
1/12/1981,1981,1,12,1.124324324
1/13/1981,1981,1,13,1.124324324
1/14/1981,1981,1,14,1.124324324
1/15/1981,1981,1,15,1.054054054
1/16/1981,1981,1,16,1.054054054
1/17/1981,1981,1,17,1.054054054
1/18/1981,1981,1,18,1.054054054
1/19/1981,1981,1,19,1.054054054
1/20/1981,1981,1,20,1.124324324
1/21/1981,1981,1,21,1.194594595
1/22/1981,1981,1,22,1.335135135
1/23/1981,1981,1,23,1.475675676
1/24/1981,1981,1,24,1.475675676
1/25/1981,1981,1,25,1.616216216
1/26/1981,1981,1,26,1.616216216
1/27/1981,1981,1,27,1.475675676
1/28/1981,1981,1,28,1.335135135
1/29/1981,1981,1,29,1.124324324
1/30/1981,1981,1,30,0.983783784
1/31/1981,1981,1,31,0.843243243
2/1/1981,1981,2,1,0.080779318
2/2/1981,1981,2,2,0.073435744
2/3/1981,1981,2,3,0.066092169
2/4/1981,1981,2,4,0.062420382
2/5/1981,1981,2,5,0.058748595
2/6/1981,1981,2,6,0.058748595
2/7/1981,1981,2,7,0.055076808
2/8/1981,1981,2,8,0.051405021
2/9/1981,1981,2,9,0.047733233
2/10/1981,1981,2,10,0.044061446
2/11/1981,1981,2,11,0.040389659
2/12/1981,1981,2,12,0.036717872
